@RELATION burstmodel
@ATTRIBUTE dealer-1 string
@ATTRIBUTE dealer-2 string
@ATTRIBUTE player1-1 string
@ATTRIBUTE player1-2 string
@ATTRIBUTE player2-1 string
@ATTRIBUTE player2-2 string
@ATTRIBUTE player3-1 string
@ATTRIBUTE player3-2 string
@ATTRIBUTE player4-1 string
@ATTRIBUTE player4-2 string
@ATTRIBUTE total numeric
@ATTRIBUTE result {burst, non-burst}
@DATA
KING,JACK,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,11,non-burst
KING,JACK,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,5,non-burst
KING,JACK,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,8,non-burst
KING,JACK,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,13,non-burst
KING,JACK,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,10,non-burst
ACE,NINE,THREE,QUEEN,QUEEN,FOUR,EIGHT,TEN,TEN,KING,13,non-burst
ACE,NINE,THREE,QUEEN,QUEEN,FOUR,EIGHT,TEN,TEN,KING,14,non-burst
THREE,TWO,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,12,non-burst
THREE,TWO,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,14,non-burst
THREE,TWO,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,10,non-burst
THREE,TWO,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,12,non-burst
SIX,EIGHT,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,16,non-burst
SIX,EIGHT,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,15,non-burst
SIX,EIGHT,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,14,non-burst
SIX,EIGHT,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,9,non-burst
SIX,EIGHT,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,12,non-burst
NINE,SIX,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,12,non-burst
NINE,SIX,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,14,non-burst
NINE,SIX,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,10,non-burst
NINE,SIX,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,13,non-burst
TWO,SEVEN,TEN,JACK,EIGHT,SEVEN,JACK,SIX,TEN,ACE,15,non-burst
TWO,SEVEN,TEN,JACK,EIGHT,SEVEN,JACK,SIX,TEN,ACE,16,non-burst
SIX,SIX,SEVEN,JACK,QUEEN,QUEEN,SEVEN,THREE,SEVEN,FIVE,10,non-burst
SIX,SIX,SEVEN,JACK,QUEEN,QUEEN,SEVEN,THREE,SEVEN,FIVE,12,non-burst
ACE,EIGHT,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,7,non-burst
