@RELATION burstmodel
@ATTRIBUTE dealer {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player1−1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player1-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player2-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player2-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player3-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player3-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player4-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player4-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE card-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE card-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE total NUMERIC
@ATTRIBUTE result {burst, non-burst}
@DATA
KING,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,NONE,NONE,11,non-burst
KING,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,NONE,NONE,5,non-burst
KING,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,THREE,NONE,8,non-burst
KING,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,THREE,FIVE,13,non-burst
KING,EIGHT,THREE,TWO,THREE,FOUR,SIX,JACK,EIGHT,NONE,NONE,10,non-burst
ACE,THREE,QUEEN,QUEEN,FOUR,EIGHT,TEN,TEN,KING,NONE,NONE,13,burst
ACE,THREE,QUEEN,QUEEN,FOUR,EIGHT,TEN,TEN,KING,NONE,NONE,14,non-burst
THREE,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,NONE,NONE,12,burst
THREE,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,NONE,NONE,14,non-burst
THREE,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,NONE,NONE,10,non-burst
THREE,JACK,TWO,SIX,EIGHT,THREE,SEVEN,ACE,JACK,TWO,NONE,12,burst
SIX,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,NONE,NONE,16,non-burst
SIX,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,NINE,NONE,15,burst
SIX,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,NONE,NONE,14,burst
SIX,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,NONE,NONE,9,non-burst
SIX,KING,NINE,FIVE,ACE,FOUR,TEN,SEVEN,TWO,THREE,NONE,12,non-burst
NINE,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,NONE,NONE,12,non-burst
NINE,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,TWO,NONE,14,non-burst
NINE,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,NONE,NONE,10,non-burst
NINE,TWO,JACK,NINE,QUEEN,ACE,JACK,EIGHT,TWO,THREE,NONE,13,non-burst
TWO,TEN,JACK,EIGHT,SEVEN,JACK,SIX,TEN,ACE,NONE,NONE,15,burst
TWO,TEN,JACK,EIGHT,SEVEN,JACK,SIX,TEN,ACE,NONE,NONE,16,burst
SIX,SEVEN,JACK,QUEEN,QUEEN,SEVEN,THREE,SEVEN,FIVE,NONE,NONE,10,non-burst
SIX,SEVEN,JACK,QUEEN,QUEEN,SEVEN,THREE,SEVEN,FIVE,NONE,NONE,12,non-burst
ACE,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,NONE,NONE,7,non-burst
ACE,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,EIGHT,NONE,15,burst
ACE,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,NONE,NONE,15,burst
ACE,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,NONE,NONE,11,non-burst
ACE,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,FIVE,NONE,16,burst
ACE,FOUR,THREE,JACK,FIVE,FOUR,SEVEN,TEN,SIX,NONE,NONE,16,burst
SEVEN,FIVE,KING,THREE,FOUR,ACE,FOUR,QUEEN,TEN,NONE,NONE,15,burst
SEVEN,FIVE,KING,THREE,FOUR,ACE,FOUR,QUEEN,TEN,NONE,NONE,7,non-burst
SEVEN,FIVE,KING,THREE,FOUR,ACE,FOUR,QUEEN,TEN,NONE,NONE,15,non-burst
SEVEN,FIVE,KING,THREE,FOUR,ACE,FOUR,QUEEN,TEN,SEVEN,NONE,12,burst
EIGHT,FOUR,ACE,FOUR,SIX,SIX,QUEEN,JACK,QUEEN,NONE,NONE,15,non-burst
EIGHT,FOUR,ACE,FOUR,SIX,SIX,QUEEN,JACK,QUEEN,EIGHT,NONE,13,non-burst
EIGHT,FOUR,ACE,FOUR,SIX,SIX,QUEEN,JACK,QUEEN,NONE,NONE,10,non-burst
EIGHT,FOUR,ACE,FOUR,SIX,SIX,QUEEN,JACK,QUEEN,FIVE,NONE,15,burst
EIGHT,FOUR,ACE,FOUR,SIX,SIX,QUEEN,JACK,QUEEN,NONE,NONE,16,burst
NINE,JACK,ACE,THREE,EIGHT,TEN,TEN,KING,TEN,NONE,NONE,11,non-burst
NINE,JACK,ACE,THREE,EIGHT,TEN,TEN,KING,TEN,TWO,NONE,13,non-burst
NINE,JACK,ACE,THREE,EIGHT,TEN,TEN,KING,TEN,TWO,THREE,16,burst
TEN,NINE,TEN,TWO,ACE,TWO,NINE,JACK,TEN,NONE,NONE,13,non-burst
TEN,NINE,TEN,TWO,ACE,TWO,NINE,JACK,TEN,NONE,NONE,11,non-burst
NINE,THREE,THREE,SEVEN,KING,FIVE,TEN,NINE,SEVEN,NONE,NONE,6,non-burst
NINE,THREE,THREE,SEVEN,KING,FIVE,TEN,NINE,SEVEN,TWO,NONE,8,non-burst
NINE,THREE,THREE,SEVEN,KING,FIVE,TEN,NINE,SEVEN,NONE,NONE,15,non-burst
NINE,THREE,THREE,SEVEN,KING,FIVE,TEN,NINE,SEVEN,ACE,NONE,16,burst
NINE,THREE,THREE,SEVEN,KING,FIVE,TEN,NINE,SEVEN,NONE,NONE,16,burst
TEN,SEVEN,TWO,JACK,KING,QUEEN,FIVE,ACE,QUEEN,NONE,NONE,9,non-burst
TEN,SEVEN,TWO,JACK,KING,QUEEN,FIVE,ACE,QUEEN,FOUR,NONE,13,burst
TEN,SEVEN,TWO,JACK,KING,QUEEN,FIVE,ACE,QUEEN,NONE,NONE,15,non-burst
EIGHT,JACK,EIGHT,SIX,TEN,SEVEN,TEN,FIVE,ACE,NONE,NONE,16,burst
EIGHT,JACK,EIGHT,SIX,TEN,SEVEN,TEN,FIVE,ACE,NONE,NONE,16,non-burst
EIGHT,JACK,EIGHT,SIX,TEN,SEVEN,TEN,FIVE,ACE,QUEEN,NONE,16,burst
TEN,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,NONE,NONE,6,non-burst
TEN,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,KING,NONE,16,burst
TEN,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,NONE,NONE,12,burst
TEN,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,NONE,NONE,9,non-burst
TEN,FOUR,TWO,TWO,JACK,THREE,SIX,JACK,TEN,THREE,NONE,12,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,NONE,NONE,6,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,TWO,NONE,8,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,TWO,SIX,14,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,NONE,NONE,11,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,ACE,NONE,12,burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,NONE,NONE,14,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,NONE,NONE,13,non-burst
NINE,TWO,FOUR,THREE,EIGHT,FOUR,TEN,QUEEN,THREE,TWO,NONE,15,burst
NINE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,NONE,NONE,16,non-burst
NINE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,NONE,NONE,13,burst
NINE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,NONE,NONE,7,non-burst
NINE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,TWO,NONE,9,non-burst
NINE,SIX,JACK,KING,THREE,NINE,NINE,THREE,FOUR,TWO,THREE,12,non-burst
EIGHT,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,NONE,NONE,10,non-burst
EIGHT,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,THREE,NONE,13,non-burst
EIGHT,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,NONE,NONE,11,non-burst
EIGHT,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,TWO,NONE,13,non-burst
