@relation result_new_train4_win

@attribute AVRAGE numeric
@attribute Dealer1 numeric
@attribute PlayerSum numeric
@attribute HITorSTAND {S,H}

@data
5.74,10,20,S
8.07,10,17,S
7.08,5,17,S
7.08,5,18,H
7.76,10,20,S
7.76,10,12,H
6.22,6,16,S
6.22,6,9,H
7.63,2,16,S
7.19,10,17,S
7.19,10,9,H
6.97,10,7,S
7.52,10,20,S
7.52,10,17,H
6,4,14,H
6.42,10,11,S
6.42,10,11,H
7.41,9,12,H
7.1,11,15,S
7.1,11,14,H
6.95,6,12,S
6.95,6,5,H
7.49,8,6,S
7.48,7,20,S
6.94,11,10,S
6.94,11,12,H
8.08,5,10,H
7.49,4,11,S
7.49,4,8,H
6.69,10,20,S
7.73,3,20,S
7.73,3,12,H
6.93,3,12,S
6.93,3,12,H
7,9,14,S
6.82,11,17,H
7.29,2,16,H
7.94,6,19,S
7.94,6,14,H
6.42,6,20,S
7.23,6,19,S
7.25,2,8,H
7.28,10,14,S
7.28,10,14,H
6.33,10,15,S
6.29,10,13,S
8.27,10,11,S
5.59,8,9,H
8.15,8,12,S
8.38,3,13,S
7.4,11,14,S
7.31,5,18,S
6.72,4,12,S
6.72,4,8,H
6.52,3,20,S
7.92,3,12,S
7.92,3,8,H
7.26,8,13,S
7.53,10,12,H
7.93,3,16,S
7.93,3,14,H
6.73,7,20,S
6.73,7,13,H
7.05,3,13,S
7.05,3,13,H
7.54,7,12,H
7.17,10,9,S
7.67,10,15,S
7.48,3,18,S
7.48,3,16,H
7.73,9,14,S
6.91,10,20,S
8.7,7,18,S
7.41,10,15,S
7.18,10,19,S
7.84,2,20,S
7.84,2,11,H
7.64,8,13,S
6.87,2,10,S
7.73,6,16,S
6.97,11,12,S
6.81,7,15,S
7.48,11,15,S
7.63,11,12,S
7.63,10,19,H
7.64,4,12,H
7.64,2,17,S
7.58,3,20,S
7.49,9,14,H
7.31,6,20,S
7.31,6,14,H
8.24,8,11,H
7.84,9,17,S
7.33,8,10,S
6.36,10,20,S
6.36,10,7,H
7.45,7,14,S
7.45,7,16,H
7.74,2,11,H
6.86,2,17,S
6.73,9,15,H
8.02,10,14,S
6.93,10,17,S
6.93,10,14,H
7.24,2,7,S
6.61,2,11,S
8.13,10,12,S
8.13,10,12,H
7.1,6,14,S
7.1,6,15,H
6.97,2,20,S
6.97,2,12,H
7.88,7,20,S
8.14,5,14,S
7.03,5,20,S
6.34,8,15,H
6.87,8,19,S
6.73,3,12,S
8.23,10,16,S
7.91,3,19,S
7.87,8,8,S
7.87,8,13,H
6.58,6,10,S
6.58,6,15,H
6.45,8,18,H
7.38,6,15,S
7.38,6,13,H
7.41,7,15,H
7.69,3,7,S
7.69,3,11,H
7.32,3,18,S
7.18,5,13,S
7.18,5,14,H
7.75,9,20,S
7.75,9,9,H
7.51,8,13,S
7.51,8,6,H
6.95,2,17,S
6.18,2,18,H
8.38,4,14,S
7.54,2,20,S
7.54,2,11,H
7.58,2,16,S
